grupo;subgrupo;seccion;ident;description;model;serial;color;status
2;0005;008;0624;ROUTER, MARCA: CISCO LINKSYS,MODELO: E2500,SERIAL: 10A20C62330755, MATERIAL: PL�STICO, COLOR: NEGRO;E2500;;NEGRO;BUENO
2;0005;008;0625;ROUTER, MARCA: CISCO LINKSYS,MODELO: E1200,SERIAL: 10822C66306500, MATERIAL: PL�STICO, COLOR: NEGRO;E1200;;NEGRO;BUENO
2;0101;003;0627;IMPRESORA MATRIZ DE PUNTO, MARCA: EPSOM,MODELO: PA71A,SERIAL: *Q75Y043880*, MATERIAL: PL�STICO, COLOR: GRIS;PA71A;;GRIS;BUENO
2;0101;011;0628;FUENTE DE PODER, MATERIAL: METAL, COLOR: GRIS;;;GRIS;MALO
2;0101;007;0629;TECLADO PARA COMPUTADOR, MARCA: GENIUS,MODELO: GK-070008/U,SERIAL: ZCE460700603, MATERIAL: PL�STICO, COLOR: NEGRO;GK-070008/U;;NEGRO;REGULAR
2;0101;017;0630;PROCESADOR, MARCA: ASROCK,MODELO: D1800M,SERIAL: 4AMOXD002362;D1800M;;;BUENO
2;0101;017;0631;PROCESADOR, MARCA: ASROCK,MODELO: D1800M,SERIAL: 4AM0XE043403;D1800M;;;BUENO
2;0101;017;0632;PROCESADOR, MARCA: ASROCK,MODELO: D1800M,SERIAL: 4AM0XE043402;D1800M;;;BUENO
2;0101;010;0637;MEMORIA RAM,SERIAL: 87LOR-ABV- 1MI 8-GWNY;;;;MALO
2;0101;011;0639;FUENTE DE PODER;;;;BUENO
2;0001;102;0644;SILLA SECRETARIAL, MATERIAL: PLASTICO/TELA, COLOR: NEGRO;;;NEGRO;MUY BUENO
2;0005;040;0645;CAMARA DE VIGILANCIA;;;;BUENO
2;0101;010;0649;DISCO DURO, MARCA: SEAGATE,MODELO: ST3320413CS,SERIAL: 9VV384EG, COLOR: GRIS;ST3320413CS;;GRIS;BUENO
2;0101;010;0650;DISCO DURO, MARCA: SEAGATE,MODELO: ST3320413CS,SERIAL: 9VV37Y1L, COLOR: GRIS;ST3320413CS;;GRIS;BUENO
2;0012;005;0652;MEMORIA RAM , MARCA: DATO TEK,MODELO: O81521G,SERIAL: 0000457537, COLOR: VERDE;O81521G;;VERDE;MUY BUENO
2;0012;005;0655;MEMORIA RAM, MARCA: KINGSTON,MODELO: KVR400X64C34/1G, COLOR: VERDE;KVR400X64C34/1G;;VERDE;BUENO
2;0101;010;0657;TARJETA DE VIDEO, MARCA: ATI,MODELO: PCI 8MB SDR VGA CARD,SERIAL: XL8MBPCI16050054, COLOR: VERDE;PCI 8MB SDR VGA CARD;;VERDE;MALO
2;0005;040;0660;CAMARAS, MARCA: HD CAMERA,MODELO: D4812,SERIAL: 920162004, COLOR: BLANCO;D4812;;BLANCO;BUENO
2;0005;040;0661;CAMARA, MARCA: HD INFRARED WATERPROOF,MODELO: GLTB1200,SERIAL: 3120163021, COLOR: BLANCO;GLTB1200;;BLANCO;BUENO
2;0101;011;0662;FUENTE DE PODER, MARCA: POWER SUPPLY,MODELO: ATX-550JM, COLOR: GRIS;ATX-550JM;;GRIS;BUENO
2;0101;006;0667;REGULADOR DE VOLTAGE, MARCA: AVTEK,MODELO: RPC PLUS 600 6T,SERIAL: 2010060264, COLOR: GRIS;RPC PLUS 600 6T;;GRIS;BUENO
2;0101;001;0668;CPU, MARCA: HP,SERIAL: MXL02610NB;;;;BUENO
2;0101;001;0674;COMPUTADOR (CPU), MARCA: HP ,SERIAL: MXL3452W84;;;;BUENO
2;0101;007;0676;TECLADO, MARCA: NEXCOM,SERIAL: KOXHI5JNSL7DDC;;;;BUENO
2;0101;004;0677;MOUSE,SERIAL: FFE17CHSBAL6B;;;;BUENO
2;0005;003;0679;ANTENA,SERIAL: C7525A9479BA;;;;BUENO
2;0101;001;0680;COMPUTADOR (CPU),SERIAL: MXL3430CDH;;;;BUENO
2;0101;005;0681;MONITOR,SERIAL: CNC0220VM0;;;;BUENO
2;0101;007;0682;TECLADO,SERIAL: QIVK8AO8BKI6FX;;;;BUENO
2;0101;004;0683;MOUSE,SERIAL: HH88RX6P3P5IQIG;;;;BUENO
